"nowDFM","Obs"
120.305237867659,111.5592648
90.8270123500934,88.12818638
88.8743902594945,88.03622663
101.95665005498,97.18223237
100.810784089886,121.4186192
101.778651607588,111.1358389
98.1542171539977,102.4729701
87.8414703778643,85.28423995
86.7327181170079,84.05703076
105.461784282588,91.11380282
111.273032582757,144.5406705
131.501353526551,142.7004043
124.939622145831,107.5253586
82.1727649239316,94.25862472
78.7858361729551,85.74996897
99.9928535720451,99.78896707
119.906096921007,121.4727985
96.8429305371774,117.3156705
109.014061931866,110.4688703
92.7046009838503,91.90871185
90.9753633005427,85.33044483
94.1447159582358,96.35903959
115.626154050299,135.0615072
136.839891611959,147.6290093
