"nowSARIMA","Obs"
113.82223410712,111.5592648
90.118920442831,88.12818638
83.1865363918668,88.03622663
94.8561107616152,97.18223237
117.51140144063,121.4186192
119.684159971157,111.1358389
108.139654255993,102.4729701
82.7227536582826,85.28423995
78.438665211676,84.05703076
88.0279089379332,91.11380282
136.665930564968,144.5406705
136.017990337467,142.7004043
111.426486758494,107.5253586
87.9927833453437,94.25862472
88.3036630220721,85.74996897
97.2881957954327,99.78896707
121.604637339639,121.4727985
110.71500512848,117.3156705
102.391844377077,110.4688703
85.2514318049077,91.90871185
84.0426027877299,85.33044483
91.1188296158711,96.35903959
144.627905911088,135.0615072
142.468183415003,147.6290093
