Periodos,GA1
2014/02,85.74102429
2014/03,73.37358531
2014/04,87.09081745
2014/05,101.6381112
2014/06,102.8980332
2014/07,97.56737248
2014/08,76.3670873
2014/09,67.75293245
2014/10,80.23572637
2014/11,110.506174
2014/12,116.2212729
2015/01,93.43784575
2015/02,87.836423
2015/03,76.09262285
2015/04,87.80122265
2015/05,102.8362012
2015/06,98.4807629
2015/07,91.33664717
2015/08,75.70635967
2015/09,69.96893568
2015/10,80.92728336
2015/11,109.8812988
2015/12,127.128323
2016/01,97.76731517
2016/02,87.31088007
2016/03,69.88329646
2016/04,90.41829317
2016/05,97.2707592
2016/06,108.8315117
2016/07,92.78610062
2016/08,87.06122343
2016/09,72.48331113
2016/10,84.29803638
2016/11,116.7756442
2016/12,127.8953444
2017/01,110.5031967
2017/02,84.59234624
2017/03,74.49000184
2017/04,91.61672893
2017/05,98.55413627
2017/06,114.4040612
2017/07,96.55382142
2017/08,81.90270956
2017/09,73.89550372
2017/10,85.90296986
2017/11,129.3211529
2017/12,128.4651405
2018/01,112.0344309
2018/02,92.13146408
2018/03,77.8985278
2018/04,96.61961926
2018/05,108.5788338
2018/06,111.2625892
2018/07,98.31638541
2018/08,81.07341272
2018/09,73.66342503
2018/10,82.24090691
2018/11,131.7479457
2018/12,134.4324593
2019/01,112.5267362
2019/02,97.18408259
2019/03,79.5415531
2019/04,94.07168949
2019/05,108.3660352
2019/06,112.9929499
2019/07,100.8811398
2019/08,79.07183318
2019/09,78.2481954
2019/10,87.11385363
2019/11,127.4320318
2019/12,129.1358234
2020/01,112.5913364
2020/02,86.72187811
2020/03,85.08989129
2020/04,93.77158378
2020/05,109.1965884
2020/06,109.6542812
2020/07,109.4458334
2020/08,81.33360768
2020/09,82.23038723
2020/10,91.92063344
2020/11,129.9366898
2020/12,126.2996606
2021/01,113.7656547
2021/02,89.95094436
2021/03,83.25958631
2021/04,94.82976698
2021/05,117.2900361
2021/06,119.1184882
2021/07,108.1243205
2021/08,82.7327825
2021/09,78.42450235
2021/10,87.9446853
2021/11,136.8816462
2021/12,135.9099669
2022/01,111.5592648
2022/02,88.12818638
2022/03,88.03622663
2022/04,97.18223237
2022/05,121.4186192
2022/06,111.1358389
2022/07,102.4729701
2022/08,85.28423995
2022/09,84.05703076
2022/10,91.11380282
2022/11,144.5406705
2022/12,142.7004043
2023/01,107.5253586
2023/02,94.25862472
2023/03,85.74996897
2023/04,99.78896707
2023/05,121.4727985
2023/06,117.3156705
2023/07,110.4688703
2023/08,91.90871185
2023/09,85.33044483
2023/10,96.35903959
2023/11,135.0615072
2023/12,147.6290093
